Country,Confirmed,Deaths,Recovered,New Cases,Deaths / 100 Cases,Recovered / 100 Cases,Population
Turkey,137115,3739,89480,1546,2.73,65.26,84339067
US,1309550,78795,212534,25621,6.02,16.23,330541757
Uganda,116,0,55,15,0,47.41,45741000
Ukraine,14710,376,2909,515,2.56,19.78,43733759
United Arab Emirates,17417,185,4295,624,1.06,24.66,9890400
United Kingdom,216525,31662,1001,3896,14.62,0.46,68395658
Uruguay,702,18,513,8,2.56,73.08,3473727
Uzbekistan,2349,10,1846,24,0.43,78.59,33469199
Venezuela,402,10,190,14,2.49,47.26,28435943
Vietnam,288,0,241,0,0,83.68,97338583
West Bank and Gaza,375,2,228,0,0.53,60.8,4543126
Western Sahara,6,0,5,0,0,83.33,597330
Yemen,34,7,1,0,20.59,2.94,29825968
Zambia,252,7,112,85,2.78,44.44,18383956
Zimbabwe,35,4,9,1,11.43,25.71,14862927
